decode_only_peak_rss,decode_tokens,decode_total_seconds,generated_tokens,incremental_decode_seconds,inference_time,kv_cache_mode,kv_requant_calls,kv_requant_elements,kv_requant_seconds,max_context,mean_incremental_decode_seconds,min_user_len,model_name,num_threads,peak_kv_cache_bytes,prefill_seconds,quantization_time,verified_kv_tensors
2396454912,1,9.110497083,6089,0,9110,post-requant,24,1179648,0.022239166,65,0,64,gpt2,14,9437184,9.110495708,1661,0
2372927488,4,10.063925875,6089 36 57 12,0.870840333,10064,post-requant,96,1234944,0.024357875,68,0.290280111,64,gpt2,14,9879552,9.193080792,1719,0
2375237632,8,11.428264125,6089 36 57 12 50 1404 4261 6234,2.013402375,11428,post-requant,192,1308672,0.02634667,72,0.28762891,64,gpt2,14,10469376,9.414852167,1682,0
2359459840,16,13.645740292,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.311814875,13645,post-requant,384,1456128,0.0299613,80,0.287454325,64,gpt2,14,11649024,9.333906584,1817,0
2371682304,1,9.176491209,6089,0,9176,post-requant,24,1179648,0.022870289,65,0,64,gpt2,14,9437184,9.176489875,1653,0
2371387392,4,10.406257541,6089 36 57 12,0.879941751,10406,post-requant,96,1234944,0.024573708,68,0.293313917,64,gpt2,14,9879552,9.526311,1673,0
2373058560,8,11.899110875,6089 36 57 12 50 1404 4261 6234,2.195781668,11899,post-requant,192,1308672,0.026091788,72,0.313683095,64,gpt2,14,10469376,9.703318875,1751,0
2102394880,16,14.006312625,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.47156258,14006,post-requant,384,1456128,0.030063212,80,0.298104172,64,gpt2,14,11649024,9.534731791,1887,0
2058502144,1,9.841304791,6089,0,9841,post-requant,24,1179648,0.023534377,65,0,64,gpt2,14,9437184,9.84130375,1805,0
2241724416,4,11.035335709,6089 36 57 12,0.915792,11035,post-requant,96,1234944,0.023967543,68,0.305264,64,gpt2,14,9879552,10.119538667,1679,0
2374615040,8,12.617019792,6089 36 57 12 50 1404 4261 6234,2.106944749,12617,post-requant,192,1308672,0.026260996,72,0.300992107,64,gpt2,14,10469376,10.510065583,1780,0
2356740096,16,14.575197125,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.667451001,14575,post-requant,384,1456128,0.030299707,80,0.3111634,64,gpt2,14,11649024,9.907725917,1876,0
