decode_only_peak_rss,decode_tokens,decode_total_seconds,generated_tokens,incremental_decode_seconds,inference_time,kv_cache_mode,kv_requant_calls,kv_requant_elements,kv_requant_seconds,max_context,mean_incremental_decode_seconds,min_user_len,model_name,num_threads,peak_kv_cache_bytes,prefill_seconds,quantization_time,verified_kv_tensors
2373992448,4,10.560877417,6089 36 57 12,0.941103917,10560,pre-requant,96,4829184,0.091021957,68,0.313701305,64,gpt2,14,9879552,9.619768708,1659,0
2320711680,8,11.50709375,6089 36 57 12 50 1404 4261 6234,2.118134624,11507,pre-requant,192,9953280,0.189320626,72,0.30259066,64,gpt2,14,10469376,9.388948584,1812,0
2374369280,16,14.1058915,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.701872789,14105,pre-requant,384,21086208,0.40062703,80,0.313458185,64,gpt2,14,11649024,9.4039985,1785,0
2048917504,1,8.8813555,6089,0,8881,pre-requant,24,1179648,0.022209168,65,0,64,gpt2,14,9437184,8.881354,1640,0
2144583680,1,9.532114833,6089,0,9532,pre-requant,24,1179648,0.022373293,65,0,64,gpt2,14,9437184,9.532113666,1697,0
2370633728,4,10.064718084,6089 36 57 12,0.923651375,10064,pre-requant,96,4829184,0.093052624,68,0.307883791,64,gpt2,14,9879552,9.141061959,1682,0
2372157440,8,11.14759525,6089 36 57 12 50 1404 4261 6234,2.203869374,11147,pre-requant,192,9953280,0.191911586,72,0.314838482,64,gpt2,14,10469376,8.943715417,1667,0
2375598080,16,14.786423,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.960245916,14786,pre-requant,384,21086208,0.409691017,80,0.330683061,64,gpt2,14,11649024,9.826155,1918,0
2365161472,1,9.540642166,6089,0,9540,pre-requant,24,1179648,0.022799292,65,0,64,gpt2,14,9437184,9.540641042,1757,0
2369929216,4,9.958484667,6089 36 57 12,0.987145375,9958,pre-requant,96,4829184,0.094035955,68,0.329048458,64,gpt2,14,9879552,8.971334417,1695,0
2372501504,8,11.42723125,6089 36 57 12 50 1404 4261 6234,2.2083993729999998,11427,pre-requant,192,9953280,0.191947794,72,0.315485624,64,gpt2,14,10469376,9.218822416,1723,0
2359508992,16,13.799557917,1340 50 3963 3336 376 3843 11335 3963 3336 376 3843 11335 3963 3336 376 3843,4.789595458,13799,pre-requant,384,21086208,0.403692168,80,0.319306363,64,gpt2,14,11649024,9.009942166,1794,0
